no,name,code,1950,2018,2019,2020,2030
0,Afghanistan,4,7752117.0,37171922.0,38041757.0,38928341.0,48093576.0
1,Albania,8,1263164.0,2882735.0,2880913.0,2877800.0,2786972.0
2,Algeria,12,8872250.0,42228415.0,43053054.0,43851043.0,50360741.0
3,American Samoa,16,18941.0,55461.0,55312.0,55197.0,54734.0
4,Andorra,20,6198.0,77008.0,77146.0,77265.0,77927.0
5,Angola,24,4548021.0,30809787.0,31825299.0,32866267.0,44834707.0
6,Anguilla,660,5122.0,14738.0,14872.0,15002.0,15917.0
7,Antigua and Barbuda,28,45515.0,96282.0,97115.0,97928.0,104859.0
8,Argentina,32,17037910.0,44361150.0,44780675.0,45195777.0,49056162.0
9,Armenia,51,1353502.0,2951741.0,2957728.0,2963234.0,2967010.0
10,Aruba,533,38052.0,105846.0,106310.0,106766.0,110244.0
11,Australia,36,8177348.0,24898153.0,25203200.0,25499881.0,28177480.0
12,Austria,40,6936442.0,8891383.0,8955108.0,9006400.0,9175689.0
13,Azerbaijan,31,2927926.0,9949537.0,10047719.0,10139175.0,10739736.0
14,Bahamas,44,79090.0,385635.0,389486.0,393248.0,426810.0
15,Bahrain,48,115612.0,1569440.0,1641164.0,1701583.0,2013419.0
16,Bangladesh,50,37894671.0,161376713.0,163046173.0,164689383.0,178993870.0
17,Barbados,52,210990.0,286640.0,287021.0,287371.0,289447.0
18,Belarus,112,7745004.0,9452615.0,9452409.0,9449321.0,9264777.0
19,Belgium,56,8637521.0,11482180.0,11539326.0,11589616.0,11903751.0
20,Belize,84,68915.0,383071.0,390351.0,397621.0,467640.0
21,Benin,204,2255222.0,11485035.0,11801151.0,12123198.0,15672310.0
22,Bermuda,60,37256.0,62763.0,62508.0,62273.0,60487.0
23,Bhutan,64,176796.0,754396.0,763094.0,771612.0,842668.0
24,Bosnia and Herzegovina,70,2661296.0,3323929.0,3300998.0,3280815.0,3126642.0
25,Botswana,72,412541.0,2254067.0,2303703.0,2351625.0,2774344.0
26,Brazil,76,53974728.0,209469320.0,211049519.0,212559409.0,223852116.0
27,Bulgaria,100,7250996.0,7051610.0,7000117.0,6948445.0,6416748.0
28,Burkina Faso,854,4284455.0,19751466.0,20321383.0,20903278.0,27404036.0
29,Burundi,108,2308927.0,11175379.0,11530577.0,11890781.0,15772827.0
30,Cambodia,116,4432724.0,16249795.0,16486542.0,16718971.0,18781040.0
31,Cameroon,120,4307021.0,25216261.0,25876387.0,26545864.0,33766113.0
32,Canada,124,13733398.0,37074558.0,37411038.0,37742157.0,40833733.0
33,Cayman Islands,136,6416.0,64172.0,64947.0,65720.0,73335.0
34,Central African Republic,140,1326660.0,4666375.0,4745179.0,4829764.0,5942207.0
35,Chad,148,2502321.0,15477727.0,15946882.0,16425859.0,21690376.0
36,Chile,152,6598518.0,18729166.0,18952035.0,19116209.0,19458098.0
37,China,156,554419269.0,1427647789.0,1433783692.0,1439323774.0,1464340150.0
38,Colombia,170,11981576.0,49661056.0,50339443.0,50882884.0,53416767.0
39,Comoros,174,159459.0,832322.0,850891.0,869595.0,1063111.0
40,Congo,178,827246.0,5244363.0,5380504.0,5518092.0,7019835.0
41,Cook Islands,184,15071.0,17519.0,17547.0,17564.0,17530.0
42,Costa Rica,188,945683.0,4999443.0,5047561.0,5094114.0,5468042.0
43,Croatia,191,3850294.0,4156407.0,4130299.0,4105268.0,3877267.0
44,Cuba,192,5919989.0,11338146.0,11333484.0,11326616.0,11142328.0
45,Cyprus,196,494018.0,1189262.0,1198574.0,1207361.0,1274973.0
46,Czechia,203,8902620.0,10665679.0,10689213.0,10708982.0,10744830.0
47,Denmark,208,4268281.0,5752131.0,5771877.0,5792203.0,6001868.0
48,Djibouti,262,62000.0,958923.0,973557.0,988002.0,1116713.0
49,Dominica,212,51099.0,71626.0,71808.0,71991.0,73244.0
50,Dominican Republic,214,2364649.0,10627147.0,10738957.0,10847904.0,11770316.0
51,Ecuador,218,3470160.0,17084359.0,17373657.0,17643060.0,19818799.0
52,Egypt,818,20451988.0,98423602.0,100388076.0,102334403.0,120831556.0
53,El Salvador,222,2199903.0,6420740.0,6453550.0,6486201.0,6778592.0
54,Equatorial Guinea,226,225530.0,1308966.0,1355982.0,1402985.0,1873551.0
55,Eritrea,232,822347.0,3452797.0,3497117.0,3546427.0,4240216.0
56,Estonia,233,1100997.0,1322913.0,1325649.0,1326539.0,1279961.0
57,Eswatini,748,272997.0,1136274.0,1148133.0,1160164.0,1297837.0
58,Ethiopia,231,18128030.0,109224410.0,112078727.0,114963583.0,144944302.0
59,Fiji,242,288994.0,883490.0,889955.0,896444.0,966019.0
60,Finland,246,4008292.0,5522585.0,5532159.0,5540718.0,5580531.0
61,France,250,41833873.0,64990512.0,65129731.0,65273512.0,66695705.0
62,French Guiana,254,25484.0,282936.0,290823.0,298682.0,377608.0
63,French Polynesia,258,60270.0,277673.0,279285.0,280904.0,296695.0
64,Gabon,266,473296.0,2119275.0,2172578.0,2225728.0,2744456.0
65,Gambia,270,304895.0,2280092.0,2347696.0,2416664.0,3170687.0
66,Georgia,268,3527008.0,4002946.0,3996762.0,3989175.0,3853301.0
67,Germany,276,69966252.0,83124413.0,83517046.0,83783945.0,83135643.0
68,Ghana,288,5036151.0,29767108.0,30417858.0,31072945.0,37833419.0
69,Gibraltar,292,22032.0,33715.0,33706.0,33691.0,33906.0
70,Greece,300,7668792.0,10522244.0,10473452.0,10423056.0,9917252.0
71,Greenland,304,22993.0,56565.0,56660.0,56772.0,57092.0
72,Grenada,308,76681.0,111449.0,112002.0,112519.0,115781.0
73,Guadeloupe,312,209999.0,399848.0,400048.0,400127.0,400244.0
74,Guam,316,59653.0,165770.0,167295.0,168783.0,181143.0
75,Guatemala,320,3114956.0,17247855.0,17581476.0,17915567.0,21212560.0
76,Guinea,324,3012938.0,12414292.0,12771246.0,13132792.0,17020912.0
77,Guinea-Bissau,624,535438.0,1874304.0,1920917.0,1967998.0,2461208.0
78,Guyana,328,406559.0,779007.0,782775.0,786559.0,821585.0
79,Haiti,332,3221270.0,11123183.0,11263079.0,11402533.0,12733227.0
80,Honduras,340,1546719.0,9587523.0,9746115.0,9904608.0,11449246.0
81,Hong Kong,344,1974002.0,7371728.0,7436157.0,7496988.0,8018674.0
82,Hungary,348,9337718.0,9707502.0,9684680.0,9660350.0,9338454.0
83,Iceland,352,142657.0,336712.0,339037.0,341250.0,359709.0
84,India,356,376325200.0,1352642283.0,1366417756.0,1380004385.0,1503642327.0
85,Indonesia,360,69543321.0,267670549.0,270625567.0,273523621.0,299198430.0
86,Iraq,368,5719183.0,38433604.0,39309789.0,40222503.0,50193762.0
87,Ireland,372,2912682.0,4818694.0,4882498.0,4937796.0,5248039.0
88,Isle of Man,833,55253.0,84073.0,84589.0,85032.0,87995.0
89,Israel,376,1257968.0,8381507.0,8519373.0,8655541.0,9979695.0
90,Italy,380,46598599.0,60627291.0,60550092.0,60461828.0,59031473.0
91,Jamaica,388,1402903.0,2934853.0,2948277.0,2961161.0,3047969.0
92,Japan,392,82802084.0,127202190.0,126860299.0,126476458.0,120758056.0
93,Jordan,400,481319.0,9965322.0,10101697.0,10203140.0,10655185.0
94,Kazakhstan,398,6703000.0,18319616.0,18551428.0,18776707.0,20639019.0
95,Kenya,404,6076757.0,51392570.0,52573967.0,53771300.0,66449655.0
96,Kiribati,296,33050.0,115842.0,117608.0,119446.0,139178.0
97,Kuwait,414,153103.0,4137314.0,4207077.0,4270563.0,4747083.0
98,Kyrgyzstan,417,1740005.0,6304025.0,6415851.0,6524191.0,7446106.0
99,Latvia,428,1926568.0,1928461.0,1906740.0,1886202.0,1720156.0
100,Lebanon,422,1334617.0,6859408.0,6855709.0,6825442.0,6194842.0
101,Lesotho,426,704686.0,2108327.0,2125267.0,2142252.0,2325171.0
102,Liberia,430,930022.0,4818976.0,4937374.0,5057677.0,6371558.0
103,Libya,434,1124519.0,6678565.0,6777453.0,6871287.0,7606414.0
104,Liechtenstein,438,13752.0,37918.0,38020.0,38137.0,39405.0
105,Lithuania,440,2567407.0,2801270.0,2759631.0,2722291.0,2484803.0
106,Luxembourg,442,296005.0,604244.0,615730.0,625976.0,690344.0
107,Macao,446,196473.0,631633.0,640446.0,649342.0,731876.0
108,Madagascar,450,4083548.0,26262313.0,26969306.0,27691019.0,35622312.0
109,Malawi,454,2953871.0,18143215.0,18628749.0,19129955.0,24849443.0
110,Malaysia,458,6109902.0,31528033.0,31949789.0,32365998.0,36095052.0
111,Maldives,462,73716.0,515703.0,530957.0,540542.0,519347.0
112,Mali,466,4708425.0,19077755.0,19658023.0,20250834.0,26957390.0
113,Malta,470,311998.0,439255.0,440377.0,441539.0,448894.0
114,Marshall Islands,584,13005.0,58412.0,58791.0,59194.0,64998.0
115,Martinique,474,222003.0,375672.0,375557.0,375265.0,367713.0
116,Mauritania,478,651434.0,4403312.0,4525698.0,4649660.0,5967176.0
117,Mauritius,480,493258.0,1267184.0,1269670.0,1271767.0,1274036.0
118,Mayotte,175,15138.0,259526.0,266153.0,272813.0,342899.0
119,Mexico,484,27944671.0,126190782.0,127575529.0,128932753.0,140875763.0
120,Monaco,492,20000.0,38682.0,38967.0,39244.0,41771.0
121,Mongolia,496,780199.0,3170214.0,3225166.0,3278292.0,3716204.0
122,Montenegro,499,394739.0,627803.0,627988.0,628062.0,624058.0
123,Montserrat,500,13524.0,4993.0,4991.0,4999.0,4763.0
124,Morocco,504,8985986.0,36029089.0,36471766.0,36910558.0,40887291.0
125,Mozambique,508,5958982.0,29496009.0,30366043.0,31255435.0,41184834.0
126,Myanmar,104,17779635.0,53708318.0,54045422.0,54409794.0,58478490.0
127,Namibia,516,514378.0,2448300.0,2494524.0,2540916.0,3010873.0
128,Nauru,520,3430.0,10678.0,10764.0,10834.0,10992.0
129,Nepal,524,8483322.0,28095712.0,28608715.0,29136808.0,33389540.0
130,Netherlands,528,10042051.0,17059560.0,17097123.0,17134873.0,17450317.0
131,New Caledonia,540,64822.0,279986.0,282757.0,285491.0,311027.0
132,New Zealand,554,1908011.0,4743131.0,4783062.0,4822233.0,5172961.0
133,Nicaragua,558,1294994.0,6465502.0,6545503.0,6624554.0,7391881.0
134,Niger,562,2559706.0,22442831.0,23310719.0,24206636.0,34846019.0
135,Nigeria,566,37859750.0,195874685.0,200963603.0,206139587.0,262977343.0
136,Niue,570,4666.0,1610.0,1614.0,1618.0,1662.0
137,North Macedonia,807,1254444.0,2082956.0,2083458.0,2083380.0,2050742.0
138,Northern Mariana Islands,580,6997.0,56889.0,57213.0,57557.0,61052.0
139,Norway,578,3265274.0,5337960.0,5378859.0,5421242.0,5875922.0
140,Oman,512,456410.0,4829476.0,4974992.0,5106622.0,5936083.0
141,Pakistan,586,37542370.0,212228288.0,216565317.0,220892331.0,262958797.0
142,Palau,585,7431.0,17911.0,18001.0,18092.0,18468.0
143,Panama,591,859658.0,4176868.0,4246440.0,4314768.0,4927612.0
144,Papua New Guinea,598,2002147.0,8606324.0,8776119.0,8947027.0,10709351.0
145,Paraguay,600,1473241.0,6956069.0,7044639.0,7132530.0,7949969.0
