X,Y,PolygonID,CountryCode,BorderType
90.0,8.0,1,124,Exterior
89.0,8.0,1,124,Exterior
88.0,8.0,1,124,Exterior
87.0,8.0,1,124,Exterior
86.0,8.0,1,124,Exterior
85.0,8.0,1,124,Exterior
84.0,8.0,1,124,Exterior
84.0,9.0,1,124,Exterior
83.0,9.0,1,124,Exterior
83.0,10.0,1,124,Exterior
82.0,10.0,1,124,Exterior
82.0,9.0,1,124,Exterior
81.0,9.0,1,124,Exterior
80.0,9.0,1,124,Exterior
79.0,9.0,1,124,Exterior
79.0,10.0,1,124,Exterior
78.0,10.0,1,124,Exterior
77.0,10.0,1,124,Exterior
76.0,10.0,1,124,Exterior
75.0,10.0,1,124,Exterior
74.0,10.0,1,124,Exterior
74.0,11.0,1,124,Exterior
74.0,12.0,1,124,Exterior
73.0,12.0,1,124,Exterior
73.0,13.0,1,124,Exterior
72.0,13.0,1,124,Exterior
71.0,13.0,1,124,Exterior
71.0,12.0,1,124,Exterior
71.0,11.0,1,124,Exterior
70.0,11.0,1,124,Exterior
69.0,11.0,1,124,Exterior
68.0,11.0,1,124,Exterior
67.0,11.0,1,124,Exterior
66.0,11.0,1,124,Exterior
65.0,11.0,1,124,Exterior
64.0,11.0,1,124,Exterior
64.0,12.0,1,124,Exterior
63.0,12.0,1,124,Exterior
62.0,12.0,1,124,Exterior
61.0,12.0,1,124,Exterior
60.0,12.0,1,124,Exterior
59.0,12.0,1,124,Exterior
59.0,13.0,1,124,Exterior
58.0,13.0,1,124,Exterior
57.0,13.0,1,124,Exterior
56.0,13.0,1,124,Exterior
56.0,14.0,1,124,Exterior
57.0,14.0,1,124,Exterior
57.0,15.0,1,124,Exterior
56.0,15.0,1,124,Exterior
55.0,15.0,1,124,Exterior
54.0,15.0,1,124,Exterior
54.0,16.0,1,124,Exterior
55.0,16.0,1,124,Exterior
55.0,17.0,1,124,Exterior
54.0,17.0,1,124,Exterior
54.0,18.0,1,124,Exterior
53.0,18.0,1,124,Exterior
53.0,19.0,1,124,Exterior
52.0,19.0,1,124,Exterior
51.0,19.0,1,124,Exterior
50.0,19.0,1,124,Exterior
49.0,19.0,1,124,Exterior
48.0,19.0,1,124,Exterior
48.0,20.0,1,124,Exterior
47.0,20.0,1,124,Exterior
46.0,20.0,1,124,Exterior
45.0,20.0,1,124,Exterior
44.0,20.0,1,124,Exterior
43.0,20.0,1,124,Exterior
42.0,20.0,1,124,Exterior
41.0,20.0,1,124,Exterior
40.0,20.0,1,124,Exterior
39.0,20.0,1,124,Exterior
39.0,21.0,1,124,Exterior
39.0,22.0,1,124,Exterior
